Team name,Profile team,Wiki URL,Region,Country,Track,Kind,Section,Application
XJU-China,https://old.igem.org/Team.cgi?team_id=4835,https://2023.igem.wiki/xju-china,Asia,China,Biomanufacturing,Collegiate,under,Accepted
XMU-China,https://old.igem.org/Team.cgi?team_id=4907,https://2023.igem.wiki/xmu-china,Asia,China,Agriculture,Collegiate,under,Accepted
Yale,https://old.igem.org/Team.cgi?team_id=4947,https://2023.igem.wiki/yale,North America,United States,Biomanufacturing,Collegiate,under,Accepted
YangzhouNOFLS,https://old.igem.org/Team.cgi?team_id=4961,https://2023.igem.wiki/yangzhounofls,Asia,China,High School,Commercial,hs,Accepted
YiYe-China,https://old.igem.org/Team.cgi?team_id=4789,https://2023.igem.wiki/yiye-china,Asia,China,High School,Commercial,hs,Accepted
Zhejiang-United,https://old.igem.org/Team.cgi?team_id=4876,https://2023.igem.wiki/zhejiang-united,Asia,China,High School,Commercial,hs,Accepted
ZJFH-Nanjing,https://old.igem.org/Team.cgi?team_id=4941,https://2023.igem.wiki/zjfh-nanjing,Asia,China,High School,Commercial,hs,Accepted
ZJU-China,https://old.igem.org/Team.cgi?team_id=4628,https://2023.igem.wiki/zju-china,Asia,China,Agriculture,Collegiate,under,Accepted
ZJUintl-China,https://old.igem.org/Team.cgi?team_id=4776,https://2023.igem.wiki/zjuintl-china,Asia,China,Therapeutics,Collegiate,under,Accepted
ZJUT-China,https://old.igem.org/Team.cgi?team_id=4591,https://2023.igem.wiki/zjut-china,Asia,China,Bioremediation,Collegiate,under,
